model,cv_mae_eur,train_mae_eur,test_mae_eur,test_rmse_eur,test_mape,test_r2,generalization_gap_eur,fit_seconds,best_params
ridge,1588.1601404312273,1578.3840594191668,1591.5281039888855,2496.9332235967286,0.08342516513981046,0.8906730956170276,13.144044569718744,9.000138399889693,"{""regressor__regressor__alpha"": 3.1622776601683795}"
linear_regression,1588.735766213949,1578.305275235675,1592.2083320320066,2499.927003424334,0.08345070747358285,0.8904107763112533,13.903056796331612,6.439726300071925,{}
lasso,1587.0177334455395,1578.4125453718757,1593.788370774477,2499.6301423902655,0.0834717919587269,0.8904368017420949,15.375825402601322,9.160914100008085,"{""regressor__regressor__alpha"": 0.0001}"
elastic_net,1587.1561067050734,1578.5114122184398,1594.3278436009832,2500.7682200417885,0.08349270104203133,0.8903370111281504,15.816431382543442,21.343591599958017,"{""regressor__regressor__alpha"": 0.00021544346900318823, ""regressor__regressor__l1_ratio"": 0.5}"
